Index#,formula,EA (eV),S/U
1,LiCaSbO4,,
2,LiMgPO4,0.30302,S
3,LiSrPO4,,
4,LiSrSbO4,,
5,LiCaAsO4,,
6,LiCaPO4,,
7,LiMgAsO4,0.17053,S
8,LiSrAsO4,,
9,LiCeGeO4,0.56339,S
10,LiCeSiO4,,
11,LiCeSnO4,,
12,LiGdGeO4,0.35837,S
13,LiGdSiO4,0.57255,U
14,LiGdSnO4,,
15,LiLaGeO4,,
16,LiLaSiO4,,
17,LiLaSnO4,,
18,LiPrGeO4,,
19,LiPrSiO4,,
20,LiPrSnO4,,
21,LiTmGeO4,,
22,LiTmSiO4,0.43106,U
23,LiTmSnO4,,
24,LiAlSiO4,0.1958,S
25,LiAlSnO4,,
26,LiGaSiO4,0.26188,S
27,LiGaSnO4,,
28,LiInSnO4,,
29,LiBaAsO4,,
30,LiBaPO4,,
31,LiBaSbO4,0.79415,U
32,LiScSnO4,,
33,LiYGeO4,,
34,LiYSiO4,0.515,S
35,LiYSnO4,,
36,LiNdGeO4,0.45409,S
37,LiNdSiO4,1.3631,U
38,LiNdSnO4,,
39,LiPmGeO4,,
40,LiPmSiO4,,
41,LiPmSnO4,,
42,LiSmSiO4,,
43,LiSmGeO4,0.3937,U
44,LiSmSnO4,,
45,LiTbGeO4,,
46,LiTbSiO4,,
47,LiTbSnO4,,
48,LiDyGeO4,0.3366,S
49,LiDySiO4,,
50,LiDySnO4,,
51,LiErGeO4,,
52,LiErSiO4,,
53,LiErSnO4,,
54,LiHoGeO4,,
55,LiHoSiO4,0.4773,S
56,LiHoSnO4,,
57,LiLuGeO4,,
58,LiLuSiO4,0.34316,S
59,LiLuSnO4,,
60,LiAlGeO4,0.10723,S
61,LiGaGeO4,0.17473,S
62,LiInGeO4,0.27989,S
63,LiInSiO4,0.39616,S
64,LiScGeO4,0.21838,S
65,LiScSiO4,0.33218,S
66,LiMgSbO4,,
